HTS_Number,Full_Description,General_Rate_of_Duty,Special_Rate_of_Duty,Column_2_Rate_of_Duty,Additional_Duties
0102.29.00.00,Live bovine animals: - Cattle: - Other:,6.80%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",15%,
0102.29.20.00,Live bovine animals: - Cattle: - Other: - Cows imported specially for dairy purposes,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",6.6¢/kg,
0102.29.20.11,Live bovine animals: - Cattle: - Other: - Cows imported specially for dairy purposes - Weighing less than 90 kg each,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",6.6¢/kg,
0102.29.20.12,Live bovine animals: - Cattle: - Other: - Cows imported specially for dairy purposes - Weighing 90 kg or more each,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",6.6¢/kg,
0102.29.40.00,Live bovine animals: - Cattle: - Other: - Other,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.29.40.24,Live bovine animals: - Cattle: - Other: - Other - Weighing less than 90 kg each: - Male,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.29.40.28,Live bovine animals: - Cattle: - Other: - Other - Weighing less than 90 kg each: - Female,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.29.40.34,Live bovine animals: - Cattle: - Other: - Other - Weighing 90 kg or more but less than 200 kg each: - Male,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.29.40.38,Live bovine animals: - Cattle: - Other: - Other - Weighing 90 kg or more but less than 200 kg each: - Female,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.29.40.54,Live bovine animals: - Cattle: - Other: - Other - Weighing 200 kg or more but less than 320 kg each: - Male,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.29.40.58,Live bovine animals: - Cattle: - Other: - Other - Weighing 200 kg or more but less than 320 kg each: - Female,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.29.40.62,Live bovine animals: - Cattle: - Other: - Other - Weighing 320 kg or more each: - For immediate slaughter: - Steers,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.29.40.64,Live bovine animals: - Cattle: - Other: - Other - Weighing 320 kg or more each: - For immediate slaughter: - Bulls,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.29.40.66,Live bovine animals: - Cattle: - Other: - Other - Weighing 320 kg or more each: - For immediate slaughter: - Cows,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.29.40.68,Live bovine animals: - Cattle: - Other: - Other - Weighing 320 kg or more each: - For immediate slaughter: - Heifers,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.29.40.72,Live bovine animals: - Cattle: - Other: - Other - Weighing 320 kg or more each: - For breeding: - Male,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.29.40.74,Live bovine animals: - Cattle: - Other: - Other - Weighing 320 kg or more each: - For breeding: - Female,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.29.40.82,Live bovine animals: - Cattle: - Other: - Other - Weighing 320 kg or more each: - Other: - Male,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.29.40.84,Live bovine animals: - Cattle: - Other: - Other - Weighing 320 kg or more each: - Other: - Female,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.31.00.00,Live bovine animals: - Buffalo: - Purebred breeding animals,Free,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",Free,
0102.31.00.10,Live bovine animals: - Buffalo: - Purebred breeding animals - Male,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",Free,
0102.31.00.20,Live bovine animals: - Buffalo: - Purebred breeding animals - Female,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",Free,
0102.39.00.00,Live bovine animals: - Buffalo: - Other,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.39.00.10,Live bovine animals: - Buffalo: - Other - Bison,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.39.00.24,Live bovine animals: - Buffalo: - Other - Other: - Weighing less than 90 kg each: - Male,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.39.00.28,Live bovine animals: - Buffalo: - Other - Other: - Weighing less than 90 kg each: - Female,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.39.00.34,Live bovine animals: - Buffalo: - Other - Other: - Weighing 90 kg or more but less than 200 kg each: - Male,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
0102.39.00.38,Live bovine animals: - Buffalo: - Other - Other: - Weighing 90 kg or more but less than 200 kg each: - Female,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.5¢/kg,
